genre,count
wisconsin indie,4
oc indie,21
action rock,1
garage punk,1
memphis indie,2
christian hardcore,6
progressive post-hardcore,39
christian metal,33
san diego indie,4
surf punk,4
toronto indie,21
french indie folk,3
puerto rican indie,1
mississippi indie,3
kawaii future bass,3
latin afrobeat,17
puerto rican rock,13
rap conciencia,18
rock en espanol,127
bachata,71
bachata dominicana,9
latin rock,78
mexican rock,39
cha-cha-cha,5
cuban rumba,16
mambo,16
reggaeton flow,124
dominican pop,13
nu-cumbia,8
san diego rap,3
mexican rock-and-roll,1
ranchera,126
norteno,186
regional mexican,357
electro latino,36
spanish pop,35
spanish pop rock,5
ska argentino,9
perreo,34
rap dominicano,10
cumbia,19
cumbia salvadorena,1
cumbia sonidera,7
grupera,23
duranguense,5
panamanian pop,12
nuevo regional mexicano,242
chicha,4
cumbia colombiana regia,3
salsa colombiana,16
cancion melodica,2
mariachi,9
bolero,15
axe,7
pagode,13
banda,106
gruperas inmortales,3
chattanooga indie,1
christian uplift,38
deep ccm,90
jawaiian,208
compositional ambient,44
neo-classical,17
ambient idm,6
russian electronic,1
russian experimental electronic,2
experimental r&b,3
icelandic classical,3
neoclassical darkwave,4
bansuri,2
hindustani classical,1
hindustani instrumental,1
indian classical,1
kirtan,5
meditation,2
shamanic,5
world fusion,17
slam poetry,5
zhongguo feng,19
singaporean mandopop,7
singaporean pop,7
malaysian pop,11
malaysian mandopop,3
mainland chinese pop,2
classic mandopop,1
soulful house,2
dub,23
military rap,4
gospel rap,4
classic pakistani pop,2
qawwali,1
sufi,3
pakistani pop,1
ghanaian hip hop,9
american post-rock,12
k-pop reality show,1
popping,16
new england americana,3
protest folk,3
smooth soul,3
baton rouge indie,1
vegas indie,14
sudanese pop,12
clean comedy,2
gypsy jazz,2
american orchestra,1
classical performance,11
orchestra,21
indie fuzzpop,2
mandolin,4
exotica,2
spytrack,1
future funk,9
neo classical metal,38
shred,2
dessin anime,1
rap boricua,5
reggae en espanol,7
flamenco,3
champeta,11
vallenato,9
salsa puertorriquena,27
cantautor,19
salsa venezolana,4
salsa international,11
cubaton,12
pop romantico,2
trova,4
mexican hip hop,6
pop peruano,2
pop venezolano,2
electro-pop francais,8
pakistani hip hop,5
sleep,9
post-romantic era,23
ukrainian classical,6
christian relaxative,28
christmas instrumental,14
new age,60
lds,17
slc indie,10
russian romanticism,64
neo-traditional bluegrass,1
ambient worship,52
christian a cappella,12
family gospel,1
southern gospel,1
rock cristiano,24
brazilian rock,7
manguebeat,5
mpb,50
pop rock brasileiro,5
rock mineiro,4
rock nacional brasileiro,5
rock gaucho,1
samba,30
tropicalia,6
violao,10
fado,2
brazilian classical,5
brazilian jazz,19
latin classical,5
brazilian boogie,2
choro,3
forro,1
velha guarda,3
samba de roda,3
nova mpb,14
umbanda,1
samba-rock,5
musica juiz-forana,1
musica alagoana,1
granada indie,1
spanish indie pop,1
spanish noise pop,1
argentine indie,1
glitch pop,4
black comedy,4
balearic,11
hamilton on indie,6
atlanta punk,11
deathgrass,2
chiptune,4
indie game soundtrack,2
minimal tech house,3
arab pop,4
egyptian pop,1
ottawa indie,2
barbershop,25
nu-metalcore,6
future rock,14
country rap,38
uk doom metal,7
speed metal,7
melodic thrash,5
bounce,4
danish hip hop,1
workout product,8
riddim,20
french reggae,9
tamaulipas rap,1
celtic punk,4
early us punk,12
jazz trio,26
dark jazz,1
doom metal,3
drone,4
drone metal,6
dub metal,10
instrumental rock,6
post-doom metal,6
post-metal,1
space rock,6
deathcore,4
djent,5
downtempo deathcore,1
early modern classical,18
french opera,2
blackened deathcore,1
symphonic deathcore,1
native american hip hop,2
flint hip hop,2
us power metal,2
math pop,3
math rock,3
lafayette indie,2
stomp and whittle,10
one-person band,7
lo star,3
bmore,4
canadian indie folk,10
ambient,33
